name,geometry/lat,geometry/lng,place_id,types/0,types/1,types/2,types/3,types/4,user_ratings_total,vicinity,accident_loc,types_str,types/5,types/6
SAM'S BOX,24.4206834,54.442136,ChIJs8dG5CFmXj4Rw6lOVl2xOwI,cafe,restaurant,food,point_of_interest,establishment,166,Capital House - Al Karamah Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_establishment,,
SLA Cafe,24.4217537,54.4437937,ChIJY8-VfA1DXj4R3XkQ06D2zEg,cafe,restaurant,food,point_of_interest,establishment,168,Al Aryaf Building - Tunb Al Kubra Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_establishment,,
Broccoli Pizza & Pasta,24.4206235,54.4419069,ChIJM6gZ131DXj4RqNXt7hdGZoA,restaurant,food,point_of_interest,establishment,,53,Capital House - ADNEC - Airport Road - أبو ظبي,شارع 33,restaurant_food_point_of_interest_establishment,,
Belgrave Abu Dahbi,24.4217519,54.4449118,ChIJQ7KoLYlDXj4RDLKviUh2dTE,restaurant,food,point_of_interest,establishment,,1,"Red crescent, 1st Floor - أبو ظبي",شارع 33,restaurant_food_point_of_interest_establishment,,
Villa Mamas Abu Dhabi,24.4221099,54.44568,ChIJR2_hguRDXj4RyrJ3z4tlnV4,restaurant,food,point_of_interest,establishment,,304,Muroor Road - Eastern Road - أبو ظبي,شارع 33,restaurant_food_point_of_interest_establishment,,
Nuevo & Lounge 1,24.4201903,54.4407095,ChIJz0-z7nNCXj4RW5V-kKwTEOM,restaurant,food,point_of_interest,establishment,,13,"P Level, Premier Inn - أبو ظبي",شارع 33,restaurant_food_point_of_interest_establishment,,
The Breakfast Barn,24.4209465,54.447636,ChIJPQ0UcUdDXj4RRc_C6midngg,restaurant,food,point_of_interest,establishment,,4,National Archives - 8th Street - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
Saffron,24.4178901,54.4401276,ChIJgbJYdoVDXj4RKsSW2Cvvi90,restaurant,food,point_of_interest,establishment,,10,Arabian Gulf Street - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
Dino's Bistro Italiano,24.417959,54.440026,ChIJCSyaepBDXj4RcSys2yB9fO4,restaurant,food,point_of_interest,establishment,,215,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
The Warehouse Wine & Tapas Bar,24.417944,54.439956,ChIJhUpFfMhDXj4RS3WwhInmADY,bar,restaurant,food,point_of_interest,establishment,156,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,bar_restaurant_food_point_of_interest_establishment,,
